1,2,3,4,5,6
236100,166,280791,,,
236143,166,280850,,,
236170,166,280909,,,
236181,166,280901,,,
236234,168,280934,,,
236222,173,280904,,,
236244,178,280906,,,
236266,184,280930,,,
236340,188,280938,,,
236413,191,281006,,,
236488,194,281033,,,
236557,194,281088,,,
236638,194,281142,,,
236711,193,281147,,,
236777,195,281159,,,
236859,199,281221,,,
236885,197,281245,,,
236922,196,281213,,,
236791,195,281056,,,
236632,196,280984,,,
236500,198,280920,,,
236446,197,280872,,,
236361,196,280894,,,
236411,196,280881,,,
236406,196,280926,,,
236384,198,280934,,,
236377,197,280941,,,
236421,197,280984,,,
236421,196,281002,,,
236501,197,281014,,,
236556,197,281069,,,
236592,199,281093,,,
236641,196,281087,,,
236716,196,281122,,,
236770,196,281153,,,
236790,197,281174,,,
236860,199,281216,,,
236925,197,281230,,,
236990,197,281246,,,
237026,196,281278,,,
237085,196,281297,,,
236952,197,281154,,,
236814,199,281046,,,
236695,196,280991,,,
236628,197,280960,,,
236536,196,280954,,,
236574,197,280985,,,
236548,198,280972,,,
236544,196,281003,,,
236546,197,280967,,,
236549,196,280982,,,
236552,196,281008,,,
236625,197,281059,,,
236688,196,281063,,,
236709,194,281078,,,
236785,193,281145,,,
236816,194,281155,,,
236855,195,281126,,,
236913,195,281167,,,
236970,193,281223,,,
237065,192,281266,,,
237075,191,281248,,,
237143,194,281289,,,
237138,193,281279,,,
237003,193,281112,,,
236842,192,281010,,,
236722,191,280947,,,
236609,193,280886,,,
236533,192,280859,,,
236488,191,280859,,,
236457,190,280876,,,
236479,191,280886,,,
236454,191,280882,,,
236452,192,280929,,,
236504,192,280965,,,
236534,191,280971,,,
236583,189,280991,,,
236627,191,281030,,,
236677,192,281055,,,
236732,192,281089,,,
236760,191,281114,,,
236840,191,281137,,,
236887,191,281168,,,
236940,192,281201,,,
237024,192,281230,,,
237068,190,281257,,,
237121,189,281252,,,
236979,187,281166,,,
236807,188,280994,,,
236691,188,280921,,,
236595,187,280893,,,
236461,185,280828,,,
236388,185,280845,,,
236391,186,280859,,,
236366,187,280835,,,
236362,186,280849,,,
236371,186,280888,,,
236393,185,280884,,,
236429,186,280928,,,
236474,186,280963,,,
236512,185,280992,,,
236587,185,281008,,,
236641,184,281057,,,
236675,186,281064,,,
236733,187,281112,,,
236795,188,281138,,,
236864,186,281181,,,
236903,187,281182,,,
236943,189,281237,,,
237008,189,281234,,,
237019,191,281218,,,
236836,192,281059,,,
236714,189,280971,,,
236624,190,280954,,,
236486,191,280867,,,
236430,191,280849,,,
236468,191,280900,,,
236402,189,280910,,,
236402,189,280887,,,
236400,189,280923,,,
236441,190,280948,,,
236490,190,280989,,,
236519,189,281016,,,
236570,188,281021,,,
236564,187,281066,,,
236632,188,281076,,,
236686,189,281073,,,
236720,187,281097,,,
236794,188,281129,,,
236818,186,281159,,,
236896,188,281184,,,
236935,189,281240,,,
237010,188,281253,,,
236946,187,281208,,,
236762,187,281040,,,
236640,188,280968,,,
236526,190,280913,,,
236445,190,280868,,,
236355,188,280855,,,
236355,188,280886,,,
236357,189,280861,,,
236330,189,280917,,,
236344,189,280934,,,
236378,188,280960,,,
236395,188,280971,,,
236431,188,281003,,,
236466,189,281007,,,
236509,190,281057,,,
236574,189,281102,,,
236635,188,281123,,,
236668,188,281134,,,
236759,190,281173,,,
236806,189,281200,,,
236853,189,281221,,,
236920,190,281255,,,
236939,187,281296,,,
236880,188,281188,,,
236676,190,281023,,,
236554,190,280952,,,
236414,188,280894,,,
236261,188,280848,,,
236195,188,280816,,,
236189,189,280877,,,
236165,189,280879,,,
236172,188,280891,,,
236159,188,280896,,,
236177,187,280904,,,
236222,188,280935,,,
236260,190,280969,,,
236310,189,280998,,,
236337,187,281028,,,
236388,187,281070,,,
236471,188,281097,,,
236516,189,281124,,,
236570,189,281173,,,
236609,189,281186,,,
236674,188,281210,,,
236766,188,281269,,,
236806,189,281258,,,
236860,189,281287,,,
236786,188,281198,,,
236593,187,281031,,,
236477,187,280981,,,
236307,189,280902,,,
236215,189,280852,,,
236118,189,280868,,,
236155,187,280884,,,
236111,187,280890,,,
236131,188,280901,,,
236119,189,280936,,,
236124,188,280933,,,
236169,187,280988,,,
236232,188,280995,,,
236259,188,281027,,,
236326,190,281049,,,
236340,189,281100,,,
236407,187,281106,,,
236454,188,281123,,,
236547,187,281168,,,
236597,189,281197,,,
236644,189,281218,,,
236714,188,281233,,,
236761,187,281243,,,
236804,188,281272,,,
236826,188,281283,,,
236678,190,281146,,,
236541,188,281049,,,
236417,187,280999,,,
236312,187,280930,,,
236250,188,280945,,,
236237,189,280969,,,
236218,187,280970,,,
236218,187,280981,,,
236220,188,280986,,,
236235,188,280991,,,
236276,188,281035,,,
236302,188,281061,,,
236366,188,281101,,,
236402,188,281105,,,
236449,188,281124,,,
236504,188,281170,,,
236546,189,281179,,,
236574,187,281201,,,
236661,188,281184,,,
236693,187,281248,,,
236756,188,281261,,,
236790,189,281298,,,
236832,187,281274,,,
236894,187,281315,,,
236797,186,281218,,,
236622,188,281102,,,
236519,187,281049,,,
236420,188,280975,,,
236330,187,280964,,,
236345,188,280980,,,
236327,188,280980,,,
236312,189,280981,,,
236317,189,280993,,,
236326,188,281012,,,
236339,189,281021,,,
236387,188,281079,,,
236439,189,281086,,,
236454,189,281129,,,
236538,189,281154,,,
236580,187,281180,,,
236624,187,281176,,,
236673,188,281213,,,
236715,188,281224,,,
236764,187,281270,,,
236816,186,281294,,,
236895,188,281321,,,
236939,187,281338,,,
236946,188,281317,,,
236794,187,281182,,,
236660,187,281101,,,
236538,187,281020,,,
236395,187,280951,,,
236353,187,280951,,,
236332,188,280985,,,
236326,186,280975,,,
236306,185,280987,,,
